Symbol,Black Mass,"Center of Gravity, X","Center of Gravity, Y",Horizontal Moment of Inertia,Vertical Moment of Inertia
['𐎀'],[0.3957557706626954],[0.4146781736130994],[0.3916156767520833],[0.0858667000342592],[0.0034522703106827086]
['𐎁'],[0.33079710559978615],[0.49370053000780323],[0.3775334005090627],[0.01820053081951078],[0.023461511099883283]
['𐎂'],[0.4018160847226591],[0.338768097032452],[0.4610726475908151],[0.003072002745526357],[0.10490655451060653]
['𐎃'],[0.49168711334801296],[0.43728081693350973],[0.4457538983536911],[0.00463615141854266],[0.14590853224641637]
['𐎄'],[0.381856418579893],[0.4977195541584142],[0.3993233384159916],[0.03435616396389853],[0.020462680866661982]
['𐎅'],[0.33935347111817704],[0.4982753959560116],[0.3441995512678179],[0.02884105238853759],[0.025060153348981262]
['𐎆'],[0.29896198062558355],[0.48263594906317314],[0.3618310031943612],[0.054534760093226595],[0.005547155564415075]
['𐎇'],[0.4810506448568732],[0.3898888019083407],[0.4407478749448067],[0.004249663534583836],[0.12173588675770725]
['𐎈'],[0.27714921990301494],[0.43481343774416814],[0.500254560153062],[0.015245212579590153],[0.014540187597848449]
['𐎉'],[0.2732292719337148],[0.4393368994052218],[0.5041697182976926],[0.01824615358070631],[0.012219173449410784]
['𐎊'],[0.450722798923491],[0.4373244237259704],[0.4768471625246758],[0.020763501698451637],[0.061303339390114155]
['𐎋'],[0.2968859418767507],[0.4817909049538745],[0.34507423060845094],[0.04853893951224568],[0.0055480195911650175]
['𐎌'],[0.26623142150198353],[0.39635836451876355],[0.48941873184909845],[0.01794018799600275],[0.013595400585003765]
['𐎍'],[0.3584382306181615],[0.33881410376669685],[0.49017603279529953],[0.026693739872589512],[0.027827259025039925]
['𐎎'],[0.24106595052419566],[0.2676391327093163],[0.5684968525988628],[0.01651689399599129],[0.01357783237450863]
['𐎏'],[0.2622674229334135],[0.44728842233235394],[0.48212959561990915],[0.012838597839434944],[0.015301634549640702]
['𐎐'],[0.4434081474930484],[0.447539655910873],[0.4149416403200474],[0.1407915068783134],[0.0030475580163307576]
['𐎑'],[0.2255264856770684],[0.47221078144246],[0.46603207238211225],[0.030781363485697863],[0.005519152178641423]
['𐎒'],[0.31959945475516416],[0.32759908774501856],[0.46819269482300585],[0.007554198172481561],[0.0412985843943502]
['𐎓'],[0.23986351557463403],[0.48833032140667276],[0.4797172812197788],[0.005493355738671756],[0.024359789531451174]
['𐎔'],[0.35551498196274756],[0.49714560317005263],[0.34437794092046775],[0.04760782539303791],[0.015136669014777107]
['𐎕'],[0.3611411623472918],[0.33860141216245504],[0.46587237339409754],[0.01599674059853426],[0.042402371341432155]
['𐎖'],[0.18754122833164907],[0.4863532206035153],[0.5328389606729703],[0.017675248831967902],[0.005401555699098546]
['𐎗'],[0.35903054724714745],[0.48196114530209466],[0.36807067502750695],[0.05860829596160354],[0.00921965406709816]
['𐎘'],[0.33508753043701145],[0.4078380798524845],[0.5237037146236254],[0.005656343861666002],[0.03688494944761085]
['𐎙'],[0.29408828772150575],[0.40231826138583315],[0.4118010252105634],[0.02560294194090601],[0.007645603417993149]
['𐎚'],[0.3820991926182237],[0.49505734545579994],[0.3437816560401685],[0.1090512166789324],[0.0026835107340030155]
['𐎛'],[0.2690230572712868],[0.40270722246036755],[0.32511529354298907],[0.014379384069330063],[0.02027362715601593]
['𐎜'],[0.4110843814650043],[0.4520089271604437],[0.44942122955148783],[0.039972452501989296],[0.02831910596071734]
['𐎝'],[0.3356606433423042],[0.42574999119518314],[0.503388077494575],[0.019383188696125944],[0.03652178713131207]
