letter,weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
𐎀,174,"{'top_left': 0, 'top_right': 0, 'bottom_left': 108, 'bottom_right': 66}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.22736842105263158, 'bottom_right': 0.13894736842105262}","(21.488505747126435, 27.091954022988507)","(0.4297701149425287, 0.7129461584996976)","(3.5777513542079538, 106.42228167525431)","(0.002352236261806676, 0.04091590990974791)"
𐎁,392,"{'top_left': 107, 'top_right': 88, 'bottom_left': 120, 'bottom_right': 77}","{'top_left': 0.22526315789473683, 'top_right': 0.18526315789473685, 'bottom_left': 0.25263157894736843, 'bottom_right': 0.16210526315789472}","(20.831632653061224, 17.255102040816325)","(0.4166326530612245, 0.4540816326530612)","(96.49614743856723, 72.89512182423991)","(0.06344256899314085, 0.02802580616079966)"
𐎂,172,"{'top_left': 64, 'top_right': 62, 'bottom_left': 17, 'bottom_right': 29}","{'top_left': 0.2644628099173554, 'top_right': 0.256198347107438, 'bottom_left': 0.07024793388429752, 'bottom_right': 0.11983471074380166}","(10.505813953488373, 15.05813953488372)","(0.5002768549280178, 0.34223044397463)","(117.62452677122769, 3.389501081665766)","(0.05808618605986553, 0.0070031014084003425)"
𐎃,209,"{'top_left': 60, 'top_right': 56, 'bottom_left': 50, 'bottom_right': 43}","{'top_left': 0.24793388429752067, 'top_right': 0.23140495867768596, 'bottom_left': 0.2066115702479339, 'bottom_right': 0.17768595041322313}","(10.38755980861244, 20.282296650717704)","(0.494645705172021, 0.46096128751631144)","(146.3939928115199, 3.8737208397243648)","(0.07229332978346661, 0.00800355545397596)"
𐎄,609,"{'top_left': 212, 'top_right': 105, 'bottom_left': 169, 'bottom_right': 123}","{'top_left': 0.33811802232854865, 'top_right': 0.1674641148325359, 'bottom_left': 0.26953748006379585, 'bottom_right': 0.19617224880382775}","(27.400656814449917, 16.392446633825944)","(0.42154856637615257, 0.43138017457436695)","(99.3385964770371, 158.03980252425978)","(0.06531137177977456, 0.03628094640134522)"
𐎅,498,"{'top_left': 145, 'top_right': 49, 'bottom_left': 207, 'bottom_right': 97}","{'top_left': 0.25573192239858905, 'top_right': 0.08641975308641975, 'bottom_left': 0.36507936507936506, 'bottom_right': 0.1710758377425044}","(20.512048192771083, 22.367469879518072)","(0.3798527443105756, 0.5455480458419042)","(125.93524701214496, 144.6715415880389)","(0.0713918633855697, 0.047825303004310385)"
𐎆,376,"{'top_left': 133, 'top_right': 110, 'bottom_left': 110, 'bottom_right': 23}","{'top_left': 0.20588235294117646, 'top_right': 0.17027863777089783, 'bottom_left': 0.17027863777089783, 'bottom_right': 0.03560371517027864}","(26.710106382978722, 16.789893617021278)","(0.398658304223563, 0.44183930571108626)","(25.798940414214577, 262.71649360570393)","(0.016961828017235094, 0.05681585069327507)"
𐎇,209,"{'top_left': 58, 'top_right': 71, 'bottom_left': 32, 'bottom_right': 48}","{'top_left': 0.2396694214876033, 'top_right': 0.29338842975206614, 'bottom_left': 0.1322314049586777, 'bottom_right': 0.19834710743801653}","(10.818181818181818, 18.172248803827753)","(0.49173553719008267, 0.4130056546324489)","(116.1521485313981, 3.6798608090474114)","(0.05735908569451758, 0.0069562586182370725)"
𐎈,582,"{'top_left': 232, 'top_right': 156, 'bottom_left': 81, 'bottom_right': 113}","{'top_left': 0.32, 'top_right': 0.21517241379310345, 'bottom_left': 0.11172413793103449, 'bottom_right': 0.15586206896551724}","(29.323024054982817, 21.530927835051546)","(0.5055693802583244, 0.439406690511256)","(122.53083041059978, 128.65510563172376)","(0.04901233216423991, 0.03695923746961326)"
𐎉,520,"{'top_left': 180, 'top_right': 139, 'bottom_left': 100, 'bottom_right': 101}","{'top_left': 0.2698650674662669, 'top_right': 0.20839580209895053, 'bottom_left': 0.14992503748125938, 'bottom_right': 0.15142428785607195}","(29.471153846153847, 19.890384615384615)","(0.5081233421750663, 0.442008547008547)","(89.08606139053255, 142.47993713017752)","(0.04210116322803996, 0.040930748960119945)"
